,minute,coin,pnl,fee_paid,balance,qty,price,psize,pprice,type
147,102971,ETH,1.4908599999999863,-0.025494632000000003,1423.6178728939988,-0.926,137.66,0.0,136.05,close_trailing_long
148,102973,ETH,0.0,-0.025220916,1423.5926519779987,0.914,137.97,0.914,137.97,entry_initial_normal_long
149,102976,ETH,2.285,-0.025677916,1425.8519740619986,-0.914,140.47,0.0,137.97,close_trailing_long
150,102977,ETH,0.0,-0.025246962,1425.8267270999986,0.897,140.73,0.897,140.73,entry_initial_normal_long
151,102979,ETH,0.14351999999999696,-0.025275666,1425.9449714339987,-0.897,140.89,0.0,140.73,close_trailing_long
152,102980,ETH,0.0,-0.025242266000000003,1425.9197291679986,0.889,141.97,0.889,141.97,entry_initial_normal_long
153,102987,ETH,0.0,-0.041291172,1425.8784379959986,1.494,138.19,2.383,139.60016365925304,entry_grid_normal_long
154,102989,ETH,0.3570600000000016,-0.06660485000000001,1426.1688931459987,-2.383,139.75,0.0,139.60016365925304,close_trailing_long
155,102990,ETH,0.0,-0.025246912,1426.1436462339987,0.904,139.64,0.904,139.64,entry_initial_normal_long
156,102992,ETH,-0.32543999999998663,-0.025181824000000002,1425.7930244099987,-0.904,139.28,0.0,139.64,close_trailing_long
157,102993,ETH,0.0,-0.025250202,1425.7677742079986,0.909,138.89,0.909,138.89,entry_initial_normal_long
158,102996,ETH,1.2726000000000053,-0.025504722,1427.0148694859986,-0.909,140.29,0.0,138.89,close_trailing_long
159,102997,ETH,0.0,-0.025283476000000003,1426.9895860099987,0.899,140.62,0.899,140.62,entry_initial_normal_long
160,103009,ETH,0.0,-0.041365136,1426.9482208739987,1.511,136.88,2.41,138.27512863070538,entry_grid_normal_long
161,103020,ETH,-0.8558600000000002,-0.06647744,1426.0258834339986,-2.41,137.92,0.0,138.27512863070538,close_trailing_long
162,103021,ETH,0.0,-0.025255952000000005,1426.0006274819987,0.916,137.86,0.916,137.86,entry_initial_normal_long
163,103023,ETH,0.5770799999999958,-0.025371368000000005,1426.5523361139988,-0.916,138.49,0.0,137.86,close_trailing_long
164,103024,ETH,0.0,-0.025249663999999998,1426.5270864499987,0.908,139.04,0.908,139.04,entry_initial_normal_long
165,103035,ETH,0.0,-0.041305768,1426.4857806819987,1.526,135.34,2.434,136.72027937551354,entry_grid_normal_long
166,103042,ETH,-0.8525799999999495,-0.06638491600000002,1425.5668157659986,-2.434,136.37,0.0,136.72027937551354,close_trailing_long
167,103043,ETH,0.0,-0.025232760000000003,1425.5415830059985,0.93,135.66,0.93,135.66,entry_initial_normal_long
168,103051,ETH,0.0,-0.04127883000000001,1425.5003041759985,1.563,132.05,2.493,133.39669073405537,entry_grid_normal_long
169,103055,ETH,0.0,-0.10854536800000002,1425.3917588079985,4.189,129.56,6.682,130.99143819215803,entry_grid_normal_long
170,103057,ETH,0.0,-0.14102520000000002,1425.2507336079984,5.575,126.48,12.257,128.93944603083952,entry_grid_cropped_long
171,103067,ETH,0.0,-0.39538656000000005,1424.8553470479985,15.24,129.72,27.497,129.37206204313196,entry_trailing_cropped_long
172,103078,ETH,25.942131682729073,-0.157122976,1450.6403557547276,-5.872,133.79,21.625,129.37206204313196,close_grid_long
173,103080,ETH,33.649441044114,-0.161433,1484.1283637988415,-5.979,135.0,15.646,129.37206204313196,close_grid_long
174,103080,ETH,40.46550104411392,-0.162796212,1524.4310686309555,-5.979,136.14,9.667,129.37206204313196,close_grid_long
175,103096,ETH,1.236580383314545,-0.00425785,1525.66339116427,-0.155,137.35,9.512,129.37206204313196,close_grid_long
176,103099,ETH,67.71968036949491,-0.19021442400000002,1593.1928571097649,-6.828,139.29,2.684,129.37206204313196,close_trailing_long
177,103101,ETH,22.21798547623383,-0.07389052,1615.3369520659987,-2.684,137.65,0.0,129.37206204313196,close_trailing_long
178,103472,ETH,0.0,-0.028611096000000006,1615.3083409699987,1.084,131.97,1.084,131.97,entry_initial_normal_long
179,103474,ETH,-0.3685600000000037,-0.028537384000000006,1614.9112435859986,-1.084,131.63,0.0,131.97,close_trailing_long
180,103475,ETH,0.0,-0.028599420000000004,1614.8826441659985,1.09,131.19,1.09,131.19,entry_initial_normal_long
181,103479,ETH,-0.37060000000000376,-0.0285253,1614.4835188659986,-1.09,130.85,0.0,131.19,close_trailing_long
182,103480,ETH,0.0,-0.028590596,1614.4549282699986,1.094,130.67,1.094,130.67,entry_initial_normal_long
183,103486,ETH,0.0,-0.046755044,1614.4081732259986,1.838,127.19,2.932,128.48847203274215,entry_grid_normal_long
184,103490,ETH,-0.9630799999999994,-0.075153024,1613.3699402019986,-2.932,128.16,0.0,128.48847203274215,close_trailing_long
185,103491,ETH,0.0,-0.028561632000000003,1613.3413785699986,1.122,127.28,1.122,127.28,entry_initial_normal_long
186,103494,ETH,-0.37025999999999815,-0.028487580000000005,1612.9426309899986,-1.122,126.95,0.0,127.28,close_trailing_long
187,103495,ETH,0.0,-0.028553107999999997,1612.9140778819985,1.126,126.79,1.126,126.79,entry_initial_normal_long
188,103498,ETH,1.7903399999999876,-0.028911175999999997,1614.6755067059985,-1.126,128.38,0.0,126.79,close_trailing_long
189,103499,ETH,0.0,-0.028583136000000002,1614.6469235699985,1.098,130.16,1.098,130.16,entry_initial_normal_long
190,103509,ETH,0.41723999999999506,-0.028666584000000002,1615.0354969859986,-1.098,130.54,0.0,130.16,close_trailing_long
191,103513,ETH,0.0,-0.028604030000000003,1615.0068929559986,1.105,129.43,1.105,129.43,entry_initial_normal_long
192,103523,ETH,0.0,-0.046788972000000005,1614.9601039839986,1.857,125.98,2.962,127.26705266711681,entry_grid_normal_long
193,103529,ETH,-0.9687300000000121,-0.075199256,1613.9161747279986,-2.962,126.94,0.0,127.26705266711681,close_trailing_long
194,103530,ETH,0.0,-0.028568872,1613.8876058559986,1.126,126.86,1.126,126.86,entry_initial_normal_long
195,103536,ETH,2.8712999999999966,-0.029143132,1616.7297627239986,-1.126,129.41,0.0,126.86,close_trailing_long
196,103537,ETH,0.0,-0.02863868800000001,1616.7011240359986,1.118,128.08,1.118,128.08,entry_initial_normal_long
197,103542,ETH,-0.36894000000001403,-0.0285649,1616.3036191359986,-1.118,127.75,0.0,128.08,close_trailing_long
198,103543,ETH,0.0,-0.028628952000000006,1616.2749901839986,1.122,127.58,1.122,127.58,entry_initial_normal_long
199,103545,ETH,0.04488000000000702,-0.028637928000000007,1616.2912322559987,-1.122,127.62,0.0,127.58,close_trailing_long
200,103622,ETH,0.0,-0.028627626,1616.2626046299988,1.139,125.67,1.139,125.67,entry_initial_normal_long
201,103625,ETH,-0.3644800000000084,-0.02855473,1615.8695698999989,-1.139,125.35,0.0,125.67,close_trailing_long
202,103628,ETH,0.0,-0.028613997999999998,1615.8409559019988,1.141,125.39,1.141,125.39,entry_initial_normal_long
203,103630,ETH,0.0,-0.046793970000000004,1615.7941619319988,1.917,122.05,3.058,123.29621975147155,entry_grid_normal_long
204,103632,ETH,0.0,-0.12307905000000001,1615.671082881999,5.139,119.75,8.197,121.07296449920705,entry_grid_normal_long
205,103634,ETH,12.340293314627168,-0.18957421800000002,1627.8218019786261,-7.727,122.67,0.47,121.07296449920705,close_trailing_long
206,103636,ETH,0.04090668537268669,-0.01138904,1627.8513196239987,-0.47,121.16,0.0,121.07296449920705,close_trailing_long
207,103637,ETH,0.0,-0.028832216,1627.8224874079988,1.169,123.32,1.169,123.32,entry_initial_normal_long
208,103640,ETH,0.0,-0.047151712000000005,1627.7753356959988,1.964,120.04,3.133,121.26384934567507,entry_grid_normal_long
209,103642,ETH,2.8703000000000287,-0.07655798800000001,1630.5690777079988,-3.133,122.18,0.0,121.26384934567507,close_trailing_long
210,103643,ETH,0.0,-0.028874208,1630.5402034999988,1.221,118.24,1.221,118.24,entry_initial_normal_long
211,103644,ETH,0.0,-0.047232936,1630.4929705639988,2.052,115.09,3.273,116.26511457378551,entry_grid_normal_long
212,103644,ETH,0.0,-0.12421200000000002,1630.3687585639989,5.5,112.92,8.773,114.16798358600252,entry_grid_normal_long
213,103646,ETH,0.0,-0.161214976,1630.2075435879988,7.312,110.24,16.085,112.3823811004041,entry_grid_cropped_long
214,103649,ETH,0.0,-0.45224892,1629.7552946679987,21.585,104.76,37.67,108.01473851871516,entry_trailing_cropped_long
215,103650,ETH,32.946378616936514,-0.18038499,1662.5212882949352,-8.045,112.11,29.625,108.01473851871516,close_grid_long
216,103650,ETH,37.29067861693656,-0.18125385000000002,1699.6307130618718,-8.045,112.65,21.58,108.01473851871516,close_grid_long
217,103650,ETH,44.93342861693647,-0.18278239999999998,1744.3813592788083,-8.045,113.6,13.535,108.01473851871516,close_grid_long
218,103650,ETH,8.103724236793195,-0.0284084,1752.4566751156015,-1.24,114.55,12.295,108.01473851871516,close_grid_long
219,103651,ETH,0.0,-0.12299892,1752.3336761956014,5.91,104.06,18.205,106.73088767303506,entry_grid_cropped_long
220,103653,ETH,0.0,-0.486135672,1751.8475405236013,22.804,106.59,41.009,106.65254383397797,entry_trailing_cropped_long
