,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
115,80025,CRVUSDT,0.48727916005611743,-0.0023932000000000003,1200.515623469041,-15.5,0.772,157.4,0.7405626348350892,close_unstuck_long
116,80026,CRVUSDT,0.5027791600561174,-0.0023963,1201.016006329097,-15.5,0.773,141.9,0.7405626348350892,close_unstuck_long
117,80027,CRVUSDT,0.4562791600561174,-0.0023870000000000002,1201.4698984891531,-15.5,0.77,126.4,0.7405626348350892,close_unstuck_long
118,80219,CRVUSDT,5.111282956844726,-0.019743680000000003,1206.5614377659979,-126.4,0.781,0.0,0.7405626348350892,close_trailing_long
119,82702,XRPUSDT,0.0,-0.05791584,1206.5035219259978,488.0,0.5934,488.0,0.5934,entry_initial_normal_long
120,82703,XLMUSDT,0.0,-0.057906243999999996,1206.4456156819979,1991.0,0.14542,1991.0,0.14542,entry_initial_normal_long
121,82705,XRPUSDT,0.0,-0.038600352,1206.4070153299979,326.9,0.5904,814.9,0.5921965394526936,entry_trailing_cropped_long
122,82707,XLMUSDT,0.0,-0.03859430400000001,1206.3684210259978,1344.0,0.14358,3335.0,0.1446784827586207,entry_trailing_cropped_long
123,82718,XLMUSDT,29.119609999999966,-0.10232447,1235.3857065559978,-3335.0,0.15341,0.0,0.1446784827586207,close_trailing_long
124,82719,XRPUSDT,0.0,-0.00231065,1235.3833959059978,18.5,0.6245,833.4,0.5929136189104871,entry_trailing_cropped_long
125,82727,XRPUSDT,30.32441000000002,-0.104891724,1265.6029141819977,-833.4,0.6293,0.0,0.5929136189104871,close_trailing_long
126,84758,XLMUSDT,0.0,-0.060761874,1265.5421523079976,1623.0,0.18719,1623.0,0.18719,entry_initial_normal_long
127,84760,XLMUSDT,0.0,-0.040472432,1265.5016798759978,1064.0,0.19019,2687.0,0.18837794194268703,entry_trailing_cropped_long
128,84761,XRPUSDT,0.0,-0.06074746,1265.4409324159978,518.5,0.5858,518.5,0.5858,entry_initial_normal_long
129,84765,XRPUSDT,0.0,-0.04049004,1265.400442375998,341.4,0.593,859.9,0.5886585649494127,entry_trailing_cropped_long
130,84775,XRPUSDT,27.552430000000037,-0.106747986,1292.846124389998,-859.9,0.6207,0.0,0.5886585649494127,close_trailing_long
131,84776,XLMUSDT,0.0,-0.0021926240000000002,1292.8439317659981,56.0,0.19577,2743.0,0.18852885526795482,entry_trailing_cropped_long
132,84791,XLMUSDT,31.136189999999935,-0.10965416800000001,1323.8704675979982,-2743.0,0.19988,0.0,0.18852885526795482,close_trailing_long
133,84916,SUSHIUSDT,0.0,-0.06363168,1323.8068359179981,272.0,1.1697,272.0,1.1697,entry_initial_normal_long
134,84918,SUSHIUSDT,0.0,-0.04227144,1323.7645644779982,178.0,1.1874,450.0,1.1767013333333334,entry_trailing_cropped_long
135,84979,SUSHIUSDT,32.129399999999976,-0.112329,1355.7816354779982,-450.0,1.2481,0.0,1.1767013333333334,close_trailing_long
136,85148,CRVUSDT,0.0,-0.0650796,1355.7165558779982,579.0,0.562,579.0,0.562,entry_initial_normal_long
137,85148,XLMUSDT,0.0,-0.065078624,1355.651477253998,1898.0,0.17144,1898.0,0.17144,entry_initial_normal_long
138,85152,XLMUSDT,0.0,-0.0433699,1355.608107353998,1225.0,0.17702,3123.0,0.17362876080691642,entry_trailing_cropped_long
139,85153,CRVUSDT,0.0,-0.043369040000000005,1355.564738313998,379.1,0.572,958.1,0.5659567894791775,entry_trailing_cropped_long
140,85169,ADAUSDT,0.0,-0.06508032000000001,1355.499657993998,2432.0,0.1338,2432.0,0.1338,entry_initial_normal_long
141,85169,ZILUSDT,0.0,-0.0650662,1355.434591793998,12370.0,0.0263,12370.0,0.0263,entry_initial_normal_long
142,85170,RUNEUSDT,0.0,-0.06505799999999999,1355.369533793998,420.0,0.7745,420.0,0.7745,entry_initial_normal_long
